Model,Category,Difficulty,Prompt,N,Correct,Accuracy,CI Lower,CI Upper
gemini,Algebra,Easy,cot,10,9,0.9,0.5958499732047615,0.9821237869049271
gemini,Algebra,Easy,tot,10,9,0.9,0.5958499732047615,0.9821237869049271
gemini,Algebra,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Algebra,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Algebra,Hard,cot,11,6,0.5454545454545454,0.280091537409322,0.7872872837754024
gemini,Algebra,Hard,tot,11,6,0.5454545454545454,0.280091537409322,0.7872872837754024
gemini,Combinatorics,Easy,cot,10,9,0.9,0.5958499732047615,0.9821237869049271
gemini,Combinatorics,Easy,tot,10,9,0.9,0.5958499732047615,0.9821237869049271
gemini,Combinatorics,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Combinatorics,Medium,tot,10,9,0.9,0.5958499732047615,0.9821237869049271
gemini,Combinatorics,Hard,cot,12,6,0.5,0.2537815976337061,0.7462184023662939
gemini,Combinatorics,Hard,tot,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503
gemini,Number Theory,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Number Theory,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Number Theory,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Number Theory,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Number Theory,Hard,cot,9,5,0.5555555555555556,0.26665129349549305,0.8112214789023355
gemini,Number Theory,Hard,tot,9,7,0.7777777777777778,0.45258896910698887,0.9367748928821533
gemini,Probability,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Probability,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Probability,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Probability,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
gemini,Probability,Hard,cot,8,3,0.375,0.13684428582359742,0.6942576053973727
gemini,Probability,Hard,tot,8,2,0.25,0.071479212752109,0.5907245696898311
groq,Algebra,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Algebra,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Algebra,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Algebra,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Algebra,Hard,cot,11,6,0.5454545454545454,0.280091537409322,0.7872872837754024
groq,Algebra,Hard,tot,11,8,0.7272727272727273,0.43435469882387084,0.902539407099751
groq,Combinatorics,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Combinatorics,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Combinatorics,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Combinatorics,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Combinatorics,Hard,cot,12,6,0.5,0.2537815976337061,0.7462184023662939
groq,Combinatorics,Hard,tot,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435
groq,Number Theory,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Number Theory,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Number Theory,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Number Theory,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Number Theory,Hard,cot,9,3,0.3333333333333333,0.1205838183869109,0.6457978644196036
groq,Number Theory,Hard,tot,9,7,0.7777777777777778,0.45258896910698887,0.9367748928821533
groq,Probability,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Probability,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Probability,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Probability,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
groq,Probability,Hard,cot,8,3,0.375,0.13684428582359742,0.6942576053973727
groq,Probability,Hard,tot,8,4,0.5,0.21521606221387757,0.7847839377861224
mistral,Algebra,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Algebra,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Algebra,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Algebra,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Algebra,Hard,cot,11,5,0.45454545454545453,0.21271271622459764,0.719908462590678
mistral,Algebra,Hard,tot,11,9,0.8181818181818182,0.523019438039156,0.9486323102539149
mistral,Combinatorics,Easy,cot,10,9,0.9,0.5958499732047615,0.9821237869049271
mistral,Combinatorics,Easy,tot,10,9,0.9,0.5958499732047615,0.9821237869049271
mistral,Combinatorics,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Combinatorics,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Combinatorics,Hard,cot,12,3,0.25,0.08894166839405471,0.5323053349335657
mistral,Combinatorics,Hard,tot,12,4,0.3333333333333333,0.13812009109121315,0.6093779111272004
mistral,Number Theory,Easy,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Number Theory,Easy,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Number Theory,Medium,cot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Number Theory,Medium,tot,10,10,1.0,0.7224672001371107,0.9999999999999999
mistral,Number Theory,Hard,cot,9,5,0.5555555555555556,0.26665129349549305,0.8112214789023355
mistral,Number Theory,Hard,tot,9,7,0.7777777777777778,0.45258896910698887,0.9367748928821533
