Model,Word,Count
gemini,assumed,2
gemini,probability,2
gemini,failed,3
gemini,solutions,2
gemini,equals,0
gemini,sum,2
gemini,congruences,1
gemini,maximum,2
gemini,formula,2
gemini,random,0
groq,assumed,5
groq,probability,2
groq,failed,1
groq,solutions,1
groq,equals,1
groq,sum,2
groq,congruences,1
groq,maximum,0
groq,formula,1
groq,random,0
mistral,assumed,6
mistral,probability,2
mistral,failed,1
mistral,solutions,1
mistral,equals,3
mistral,sum,0
mistral,congruences,1
mistral,maximum,1
mistral,formula,0
mistral,random,3
