Model,Word,Count
gemini,assumed,2
gemini,guessed,3
gemini,sum,2
gemini,count,2
gemini,values,1
gemini,counted,1
gemini,colorings,1
gemini,intersection,1
gemini,lengths,1
gemini,valid,2
groq,assumed,3
groq,guessed,0
groq,sum,1
groq,count,1
groq,values,0
groq,counted,0
groq,colorings,1
groq,intersection,1
groq,lengths,1
groq,valid,1
mistral,assumed,2
mistral,guessed,1
mistral,sum,1
mistral,count,1
mistral,values,2
mistral,counted,2
mistral,colorings,1
mistral,intersection,1
mistral,lengths,1
mistral,valid,0
