Model,Prompt,Difficulty,N,Mean (s),Median (s),Std (s)
gemini,cot,Easy,40,3.9212000000000002,4.01,1.0509325577912414
gemini,cot,Medium,40,28.726474999999994,4.327500000000001,69.52415292949252
gemini,cot,Hard,40,7.444725,4.827,8.425244767006733
gemini,tot,Easy,40,18.44735,5.772,25.285562782103387
gemini,tot,Medium,40,29.168875000000003,25.761,26.569951694258993
gemini,tot,Hard,40,44.107175,27.6465,54.9609926770388
groq,cot,Easy,40,4.7507,4.08,5.157576106303007
groq,cot,Medium,40,6.053450000000001,4.286,7.21535869694924
groq,cot,Hard,40,16.740125,13.556000000000001,11.694635182890378
groq,tot,Easy,40,21.849,21.0595,6.448651013773028
groq,tot,Medium,40,25.937525,22.6445,13.556771792549153
groq,tot,Hard,40,79.457175,68.402,40.704314474202164
mistral,cot,Easy,40,34.611575,31.1115,18.728146181051827
mistral,cot,Medium,40,30.652299999999997,30.5595,10.74484063477289
mistral,cot,Hard,40,64.371125,55.4675,48.56318055058897
mistral,tot,Easy,40,72.446425,74.27000000000001,55.947302397738305
mistral,tot,Medium,40,89.92425,79.35,67.47965548365157
mistral,tot,Hard,40,225.75907500000002,169.3915,169.195596233288
